profile,level,name,win_prob,is_nominal_winner,margin_over_2nd,median_spearman
main_center,variant,goe63_v22,0.33325,True,0.0010728875681871308,0.9575556570581693
main_center,variant,cootie_v17,0.24675,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe304_v15,0.145,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe304_v29,0.132,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe304,0.078,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe304_v00,0.04725,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe63_v17,0.00975,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe63_v23,0.005,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe319,0.001,False,0.0010728875681871308,0.9575556570581693
main_center,variant,goe63_v21,0.00075,False,0.0010728875681871308,0.9575556570581693
main_center,family,goe304,0.40225,False,0.0010728875681871308,0.9575556570581693
main_center,family,goe63,0.349,True,0.0010728875681871308,0.9575556570581693
main_center,family,cootie,0.24675,False,0.0010728875681871308,0.9575556570581693
main_center,family,goe319,0.001,False,0.0010728875681871308,0.9575556570581693
main_center,family,goe323,0.0005,False,0.0010728875681871308,0.9575556570581693
main_center,family,goe802,0.00025,False,0.0010728875681871308,0.9575556570581693
main_outboard,variant,goe14_v05,0.4625,True,0.0032865353914868223,0.9080956334625616
main_outboard,variant,s1210_v28,0.25525,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,goe14_v23,0.16675,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,goe63_v28,0.07375,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,s1210_v08,0.03075,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,goe63_v23,0.005,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,s1223_v03,0.00325,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,goe14_v17,0.00125,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,goe29b_v20,0.00125,False,0.0032865353914868223,0.9080956334625616
main_outboard,variant,s1223_v02,0.00025,False,0.0032865353914868223,0.9080956334625616
main_outboard,family,goe14,0.6305,True,0.0032865353914868223,0.9080956334625616
main_outboard,family,s1210,0.286,False,0.0032865353914868223,0.9080956334625616
main_outboard,family,goe63,0.07875,False,0.0032865353914868223,0.9080956334625616
main_outboard,family,s1223,0.0035,False,0.0032865353914868223,0.9080956334625616
main_outboard,family,goe29b,0.00125,False,0.0032865353914868223,0.9080956334625616
flap1,variant,s1223_v02,0.942,True,0.047814434387753124,0.9636000900022501
flap1,variant,s1223_v07,0.05425,False,0.047814434387753124,0.9636000900022501
flap1,variant,s1223_v17,0.00175,False,0.047814434387753124,0.9636000900022501
flap1,variant,s1223,0.00175,False,0.047814434387753124,0.9636000900022501
flap1,variant,s1223_v10,0.00025,False,0.047814434387753124,0.9636000900022501
flap1,family,s1223,1.0,True,0.047814434387753124,0.9636000900022501
flap2,variant,s1223_v08,0.97725,True,0.013753100998866175,0.9915744603664067
flap2,variant,s1223_v03,0.015,False,0.013753100998866175,0.9915744603664067
flap2,variant,s1223_v02,0.00775,False,0.013753100998866175,0.9915744603664067
flap2,family,s1223,1.0,True,0.013753100998866175,0.9915744603664067
